Date,Open,High,Low,Close,Volume
5/12/2015,4412.71,4441.38,4380.81,4420.65,294115517
5/13/2015,4435.7,4460.52,4421.77,4426.56,288320690
5/14/2015,4461.17,4496.14,4448.38,4495.04,300339655
5/15/2015,4505.29,4509.1,4482.55,4494.29,287458621
5/18/2015,4487.54,4521.01,4483.82,4512.95,283425862
5/19/2015,4514.58,4521.72,4498.55,4503.72,301893103
5/20/2015,4505.69,4533.77,4484.52,4505.3,308074138
5/21/2015,4499.91,4537.28,4495.5,4529.47,290287931
5/22/2015,4522.93,4542.46,4522.93,4527.16,266365517
5/26/2015,4517.42,4521.7,4456.87,4472.96,298612069
5/27/2015,4488.58,4551.52,4480.19,4546.06,311991379
5/28/2015,4538.39,4548.14,4523.55,4535.66,300244828
5/29/2015,4532,4539.31,4499.83,4508.25,348994828
6/1/2015,4530.31,4535.41,4488.29,4521.85,327951724
6/2/2015,4503.79,4531.05,4486.33,4508.89,298232759
6/3/2015,4531.12,4539.3,4512.54,4519.86,319427586
6/4/2015,4501.73,4526.15,4475.05,4487.03,312751724
6/5/2015,4484.04,4493.43,4452.33,4477.19,317739655
6/8/2015,4476.74,4477.83,4423.8,4431.52,295208621
6/9/2015,4420.69,4441.59,4392.45,4427.61,302472414
6/10/2015,4440.84,4497.47,4435.31,4485.46,309134483
6/11/2015,4498.64,4511.31,4483.84,4488.47,279991379
6/12/2015,4467.48,4476.21,4449.21,4453.79,246362069
6/15/2015,4416.62,4437.89,4396.26,4432.92,308668966
6/16/2015,4428.3,4463.15,4426.19,4455.9,285313793
6/17/2015,4465.14,4482.2,4441.35,4468.98,295313793
6/18/2015,4483.63,4540.65,4483.63,4531.85,323779310
6/19/2015,4538.71,4539.1,4511.39,4513.42,425570690
6/22/2015,4542.78,4557.98,4534.76,4544.04,279305172
6/23/2015,4550.08,4551.6,4529.99,4548.74,278196552
6/24/2015,4542.58,4561.57,4524.01,4524.6,280827586
6/25/2015,4540.77,4545.98,4508.65,4514.01,278406897
6/26/2015,4513.96,4523.92,4469.23,4484.28,662725862
6/29/2015,4433.11,4459.95,4377.25,4379.87,349237931
6/30/2015,4413.3,4420.38,4382.41,4396.76,350763793
7/1/2015,4433.74,4445.42,4409.59,4429.23,312855172
7/2/2015,4440.1,4445.72,4417.49,4433.39,257036207
7/6/2015,4395.41,4444.1,4394.81,4418.66,300258621
7/7/2015,4418.96,4434.44,4345.7,4429.06,367600000
7/8/2015,4392.7,4402.82,4346.43,4351.58,333020690
7/9/2015,4406.48,4414.3,4351.58,4352.03,320965517
7/10/2015,4405.99,4434.05,4394.17,4420.15,274177586
7/13/2015,4458.16,4498.71,4456.73,4494.47,292093103
7/14/2015,4501.98,4537.14,4501.05,4523.47,290113793
7/15/2015,4531.32,4547.16,4517.43,4528.36,291612069
7/16/2015,4567.06,4594.91,4558.5,4594.9,314401724
7/17/2015,4635.48,4661.6,4625.22,4661.6,319732759
7/20/2015,4670.23,4693.98,4658.05,4679.67,312789655
7/21/2015,4679.54,4686.16,4661.81,4674.41,305960345
7/22/2015,4604.97,4643.64,4604.97,4623.24,350987931
7/23/2015,4627.56,4641.58,4592.53,4602.83,345398276
7/24/2015,4630.95,4631.12,4552.47,4557.37,345582759
7/27/2015,4530.37,4551.93,4511.92,4519.09,333701724
7/28/2015,4539.47,4568.78,4506.39,4560.23,349156897
7/29/2015,4570.5,4586.65,4556.47,4581.6,327258621
7/30/2015,4570.77,4606.64,4541.37,4598.59,329048276
7/31/2015,4616.48,4616.48,4584.22,4591.31,332131034
8/3/2015,4595.26,4607.12,4549.6,4580.46,308634483
8/4/2015,4573.25,4584.33,4551.93,4567.47,313741379
8/5/2015,4592.15,4634.68,4590.5,4602.24,351981034
8/6/2015,4607.99,4612.6,4508.43,4528.51,394991379
8/7/2015,4519.36,4532.14,4485.67,4520.08,346268966
8/10/2015,4558.68,4583.61,4554.63,4573.11,307746552
8/11/2015,4549.02,4567.64,4491.11,4513.99,329713793
8/12/2015,4475.91,4539.18,4436.97,4528.19,360251724
8/13/2015,4536.96,4556.09,4514.88,4519.32,281437931
8/14/2015,4512.88,4536.04,4503.85,4530.74,256487931
8/17/2015,4516.88,4568.47,4507.98,4566.37,260481034
8/18/2015,4556.23,4562.02,4536.07,4542.07,258886207
8/19/2015,4525.32,4550.42,4486.43,4510.9,307831034
8/20/2015,4467.79,4483.96,4385.13,4385.13,359827586
8/21/2015,4313.19,4360.19,4205.94,4205.94,477334483
8/24/2015,3787.23,4199.79,3787.23,4038.6,603248276
8/25/2015,4185.28,4207.35,4016.32,4016.32,450482759
8/26/2015,4141.24,4227.53,4052.86,4219.6,453734483
8/27/2015,4281.73,4328.99,4231.27,4324.82,406703448
